
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
23,Darrell Arthur,SF,25,DEN,68,1161,9.4,.459,.424,.151,.156,4.8,14.7,9.8,8.0,1.6,3.0,11.7,18.1,94,107,-0.5,1.2,0.7,.029
24,Omer Asik,C,27,HOU,48,968,14.0,.570,.532,.663,.000,12.3,30.1,21.7,3.8,0.7,2.8,19.4,13.8,109,103,1.0,1.5,2.4,.121
25,D.J. Augustin,PG,26,TOT,71,1939,16.2,.569,.508,.316,.462,0.9,6.7,3.8,28.9,1.5,0.1,13.3,22.4,113,105,3.8,2.4,6.2,.154
25,D.J. Augustin,PG,26,TOR,10,82,1.2,.394,.313,.250,.458,0.0,5.7,2.8,18.4,0.6,0.0,25.3,19.8,75,111,-0.2,0.0,-0.2,-0.112
25,D.J. Augustin,PG,26,CHI,61,1857,16.8,.574,.514,.318,.463,0.9,6.7,3.9,29.3,1.5,0.1,12.8,22.5,114,105,4.0,2.4,6.4,.166
26,Gustavo Ayon,C,28,ATL,26,429,12.9,.505,.510,.196,.000,11.4,22.3,16.9,10.0,3.0,1.8,20.7,14.8,98,101,0.0,0.7,0.7,.078
27,Jeff Ayres,PF,26,SAS,73,952,11.1,.605,.580,.316,.000,11.0,19.2,15.3,8.6,0.7,1.9,24.1,12.4,110,103,1.0,1.4,2.4,.121
28,Chris Babb,SG,23,BOS,14,132,3.7,.367,.367,.000,.900,3.3,11.5,7.3,3.3,2.3,0.0,9.1,11.1,82,108,-0.1,0.1,0.0,-0.008
29,Luke Babbitt,PF,24,NOP,27,473,12.1,.525,.506,.117,.617,4.4,17.5,10.8,9.4,0.8,1.9,8.5,17.0,109,112,0.5,0.2,0.7,.074
30,Leandro Barbosa,PG,31,PHO,20,368,11.5,.506,.454,.298,.191,1.5,9.7,5.6,13.4,1.0,0.8,11.4,20.0,103,110,0.2,0.2,0.4,.058
31,Jose Barea,PG,29,MIN,79,1471,11.6,.471,.443,.152,.352,1.2,10.5,5.7,32.7,0.9,0.0,15.2,23.9,98,110,-0.1,0.9,0.7,.024
32,Andrea Bargnani,C,28,NYK,42,1257,14.5,.510,.472,.203,.215,6.3,14.7,10.4,6.1,0.6,3.7,9.6,22.4,103,110,0.8,0.7,1.5,.058
33,Harrison Barnes,SF,21,GSW,78,2204,9.8,.486,.448,.267,.280,3.3,11.9,7.7,7.6,1.5,0.7,10.0,16.8,100,105,0.4,2.8,3.2,.070
