
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
107,Jae Crowder,SF,23,DAL,78,1254,11.9,.551,.524,.206,.510,4.3,13.5,8.9,6.7,2.4,1.4,11.3,13.2,110,108,1.2,1.1,2.3,.089
108,Dante Cunningham,SF,26,MIN,81,1635,12.6,.474,.464,.132,.010,7.3,14.9,11.0,7.7,1.9,2.7,7.2,15.1,104,105,0.9,2.0,2.9,.085
109,Jared Cunningham,SG,22,TOT,13,80,8.5,.464,.310,.762,.333,1.4,7.2,4.3,14.4,1.9,0.0,6.7,16.6,108,110,0.1,0.0,0.1,.075
109,Jared Cunningham,SG,22,ATL,5,22,-1.8,.347,.500,1.000,.500,0.0,5.2,2.6,18.8,0.0,0.0,41.0,10.1,64,114,-0.1,0.0,-0.1,-0.110
109,Jared Cunningham,SG,22,SAC,8,58,12.4,.477,.289,.737,.316,1.9,7.9,4.9,12.7,2.6,0.0,0.0,19.1,119,109,0.1,0.0,0.2,.145
110,Seth Curry,PG,23,TOT,2,13,13.8,.500,.500,.000,.333,0.0,8.8,4.3,0.0,7.9,0.0,0.0,10.3,106,96,0.0,0.0,0.0,.131
110,Seth Curry,PG,23,MEM,1,4,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,114,0.0,0.0,0.0,.006
110,Seth Curry,PG,23,CLE,1,9,19.9,.500,.500,.000,.333,0.0,12.8,6.2,0.0,11.5,0.0,0.0,14.9,106,88,0.0,0.0,0.0,.187
111,Stephen Curry,PG,25,GSW,78,2846,24.1,.610,.566,.252,.445,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,117,104,9.3,4.0,13.4,.225
112,Samuel Dalembert,C,32,DAL,80,1614,16.8,.605,.568,.363,.003,14.4,24.2,19.4,3.4,1.3,4.8,17.1,14.8,117,105,2.9,2.1,4.9,.147
113,Troy Daniels,SG,22,HOU,5,75,16.0,.677,.677,.000,.806,0.0,5.6,3.0,11.4,0.0,0.0,8.8,19.9,126,114,0.2,0.0,0.2,.150
114,Luigi Datome,SF,26,DET,34,238,8.0,.409,.387,.103,.402,6.1,15.5,10.6,7.0,1.3,0.3,9.8,20.2,90,112,-0.2,0.1,-0.1,-0.023
115,Brandon Davies,PF,22,PHI,51,575,7.5,.476,.430,.414,.078,6.9,13.9,10.2,7.1,2.0,1.1,18.8,13.7,93,110,-0.3,0.4,0.1,.008
116,Anthony Davis,C,20,NOP,67,2358,26.5,.582,.520,.438,.009,10.0,23.3,16.6,8.0,2.0,6.7,8.3,25.2,119,104,7.2,3.2,10.4,.212
117,Ed Davis,PF,24,MEM,63,956,15.9,.542,.534,.307,.000,11.4,20.9,16.1,4.5,0.9,3.7,10.8,17.8,110,103,1.2,1.4,2.6,.129
118,Glen Davis,PF,28,TOT,68,1662,13.1,.491,.460,.231,.019,7.4,16.4,11.9,7.8,1.8,1.4,10.4,19.9,99,106,0.2,1.8,2.0,.058
118,Glen Davis,PF,28,ORL,45,1354,13.7,.485,.457,.223,.020,7.2,16.4,11.8,8.8,1.7,1.3,9.5,20.9,99,107,0.2,1.3,1.5,.053
118,Glen Davis,PF,28,LAC,23,308,10.3,.527,.481,.284,.012,7.8,16.7,12.4,3.3,1.9,1.7,15.7,15.5,101,104,0.1,0.4,0.5,.079
119,Austin Daye,SF,25,TOT,22,148,11.0,.456,.441,.147,.544,3.9,16.4,10.4,8.2,1.4,2.0,6.5,23.7,94,103,-0.1,0.2,0.1,.047
119,Austin Daye,SF,25,TOR,8,33,2.4,.279,.231,.231,.615,7.0,17.8,12.4,9.2,0.0,0.0,0.0,19.7,79,109,-0.1,0.0,0.0,-0.067
119,Austin Daye,SF,25,SAS,14,115,13.5,.499,.491,.127,.527,3.1,16.0,9.8,7.9,1.8,2.5,7.9,24.8,98,101,0.0,0.2,0.2,.080
120,Nando De Colo,SF,26,TOT,47,494,13.1,.526,.477,.229,.346,3.3,13.3,8.4,19.7,2.3,0.9,17.2,18.6,103,103,0.3,0.7,1.0,.100
120,Nando De Colo,SF,26,SAS,26,301,13.2,.545,.505,.237,.333,2.3,14.0,8.4,15.1,2.5,0.7,17.0,18.6,102,101,0.1,0.5,0.6,.101
120,Nando De Colo,SF,26,TOR,21,193,12.9,.495,.433,.217,.367,4.8,12.1,8.5,26.9,1.9,1.2,17.6,18.8,105,105,0.2,0.2,0.4,.098
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
121,Dewayne Dedmon,C,24,TOT,31,390,10.7,.500,.458,.386,.000,10.7,25.8,18.1,1.9,0.9,4.5,15.6,13.1,100,105,0.1,0.5,0.6,.070
121,Dewayne Dedmon,C,24,GSW,4,6,-5.1,.266,.000,2.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,62,111,0.0,0.0,0.0,-0.107
121,Dewayne Dedmon,C,24,PHI,11,150,8.7,.533,.517,.448,.000,7.6,28.5,17.6,2.9,0.0,4.8,20.6,12.3,96,108,0.0,0.1,0.1,.035
121,Dewayne Dedmon,C,24,ORL,16,234,12.5,.488,.434,.321,.000,13.0,24.8,18.9,1.3,1.5,4.4,13.0,13.5,104,103,0.1,0.4,0.5,.096
122,Matthew Dellavedova,SG,23,CLE,72,1271,10.7,.534,.508,.162,.524,2.5,8.5,5.4,22.1,1.3,0.3,15.9,13.2,111,111,1.4,0.7,2.1,.078
123,Luol Deng,SF,28,TOT,63,2213,15.2,.517,.465,.312,.220,5.0,13.4,9.2,14.6,1.5,0.3,10.4,22.3,106,107,2.2,2.3,4.5,.098
123,Luol Deng,SF,28,CHI,23,860,17.0,.536,.476,.350,.175,5.4,15.4,10.5,18.7,1.5,0.4,12.6,25.1,106,102,1.0,1.4,2.4,.132
123,Luol Deng,SF,28,CLE,40,1353,14.0,.503,.457,.285,.251,4.8,12.2,8.4,12.0,1.4,0.3,8.8,20.6,106,110,1.3,0.9,2.2,.077
124,DeMar DeRozan,SG,24,TOR,79,3017,18.4,.532,.452,.448,.149,2.0,11.3,6.6,18.9,1.5,0.7,9.5,28.0,110,107,5.8,3.0,8.8,.141
125,Boris Diaw,PF,31,SAS,79,1974,14.1,.578,.559,.159,.193,4.4,13.8,9.3,16.3,1.1,1.2,16.3,17.0,109,104,2.3,2.6,4.9,.120
126,Gorgui Dieng,C,24,MIN,60,818,16.5,.534,.500,.410,.004,13.4,26.9,20.0,7.2,1.8,4.6,16.8,16.8,106,100,0.7,1.5,2.2,.129
127,Toney Douglas,PG,27,TOT,51,675,9.2,.493,.466,.179,.537,3.4,11.9,7.8,14.6,1.5,0.6,14.2,16.3,101,107,0.2,0.7,0.9,.061
127,Toney Douglas,PG,27,GSW,24,265,6.5,.492,.483,.093,.686,1.7,8.9,5.4,10.3,1.1,0.6,15.2,17.5,93,106,-0.1,0.3,0.2,.028
127,Toney Douglas,PG,27,MIA,27,410,10.9,.494,.452,.250,.413,4.5,13.9,9.3,17.3,1.7,0.6,13.5,15.6,106,107,0.3,0.4,0.7,.083
128,Chris Douglas-Roberts,SF,27,CHA,49,1016,12.2,.588,.542,.325,.524,1.8,11.5,6.6,7.9,1.5,1.2,11.1,14.7,111,105,1.1,1.2,2.4,.113
129,Goran Dragic,SG,27,PHO,76,2668,21.4,.604,.561,.381,.274,2.9,7.4,5.2,28.1,2.0,0.6,14.3,24.5,119,109,8.4,2.0,10.3,.186
130,Andre Drummond,C,20,DET,81,2619,22.6,.599,.623,.427,.003,17.5,27.7,22.3,2.2,2.0,4.0,10.7,16.7,121,104,6.4,3.5,9.9,.182
131,Jared Dudley,SF,28,LAC,74,1729,8.9,.541,.529,.130,.503,2.4,7.7,5.1,8.6,1.2,0.4,10.6,13.5,107,109,1.2,1.2,2.4,.068
132,Tim Duncan,C,37,SAS,74,2158,21.3,.535,.490,.349,.006,8.6,28.3,18.8,16.0,1.0,4.6,13.2,25.2,106,98,2.8,4.6,7.4,.164
133,Mike Dunleavy,SF,33,CHI,82,2584,12.6,.549,.510,.212,.419,2.1,13.0,7.6,12.3,1.3,1.4,11.3,17.0,108,102,2.4,4.1,6.5,.121
134,Kevin Durant,SF,25,OKC,81,3122,29.8,.635,.560,.477,.291,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33.0,123,104,14.8,4.4,19.2,.295
135,Shane Edwards,SF,26,CLE,2,12,-1.0,.333,.333,.000,.000,9.1,9.6,9.3,0.0,0.0,0.0,25.0,14.9,64,114,0.0,0.0,0.0,-0.141
136,Wayne Ellington,SG,26,DAL,45,393,12.2,.554,.536,.087,.468,2.4,10.2,6.3,7.1,2.1,0.4,7.8,16.4,110,110,0.4,0.2,0.7,.084
137,Monta Ellis,PG,28,DAL,82,3023,16.8,.532,.478,.336,.164,1.5,9.8,5.6,24.8,2.4,0.6,15.2,26.0,104,109,2.8,2.1,4.9,.078
138,Melvin Ely,C,35,NOP,2,27,3.9,.500,.500,.000,.000,0.0,4.4,2.2,0.0,0.0,3.1,0.0,10.1,104,116,0.0,0.0,0.0,.011
139,Jeremy Evans,SF,26,UTA,66,1209,16.2,.549,.527,.226,.006,11.1,18.7,14.8,6.1,1.8,3.0,9.9,15.3,114,109,1.9,1.0,2.8,.112
140,Reggie Evans,PF,33,TOT,54,899,11.7,.516,.473,.867,.000,14.8,28.4,21.5,3.5,2.1,0.3,21.9,13.4,102,104,0.3,1.2,1.5,.080
140,Reggie Evans,PF,33,BRK,30,399,9.0,.462,.390,1.102,.000,15.9,28.7,22.4,1.8,1.7,0.4,24.2,13.6,94,104,-0.1,0.5,0.4,.046
140,Reggie Evans,PF,33,SAC,24,500,13.8,.556,.527,.714,.000,13.8,28.1,20.9,4.8,2.4,0.2,20.1,13.2,108,104,0.5,0.7,1.1,.107
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
141,Tyreke Evans,SF,24,NOP,72,2028,18.4,.504,.448,.346,.106,4.3,15.4,9.8,30.4,2.2,0.9,14.5,27.1,103,110,1.8,1.3,3.1,.073
142,Kenneth Faried,PF,24,DEN,80,2178,19.8,.573,.545,.379,.004,11.8,22.2,16.9,7.5,1.6,2.3,12.4,21.3,113,106,4.0,2.5,6.5,.144
143,Jordan Farmar,PG,27,LAL,41,912,15.0,.533,.511,.162,.440,2.3,9.8,6.1,34.6,2.0,0.6,19.6,23.2,101,112,0.4,0.4,0.7,.039
144,Vitor Faverani,C,25,BOS,37,488,11.0,.502,.476,.252,.272,9.5,20.6,14.9,5.2,1.5,4.3,20.1,18.6,92,104,-0.3,0.7,0.3,.031
145,Derrick Favors,PF,22,UTA,73,2201,19.0,.556,.522,.380,.001,10.1,23.7,16.7,7.3,1.8,3.8,12.9,20.8,108,107,2.9,2.3,5.1,.112
146,Carrick Felix,SG,23,CLE,7,38,13.3,.603,.571,.286,.357,2.9,15.1,8.9,18.2,0.0,0.0,20.2,23.2,104,112,0.0,0.0,0.0,.057
147,Raymond Felton,PG,29,NYK,65,2017,12.9,.476,.446,.201,.321,3.1,8.6,5.7,28.1,2.1,1.2,16.3,18.2,103,111,1.1,1.1,2.2,.053
148,Landry Fields,SF,25,TOR,30,322,8.6,.443,.403,.328,.075,5.4,16.0,10.7,9.3,1.6,0.7,12.5,12.4,98,105,0.0,0.4,0.4,.057
149,Derek Fisher,SG,39,OKC,81,1428,10.1,.542,.512,.197,.634,1.0,8.3,4.8,11.6,2.5,0.2,11.1,13.7,110,106,1.4,1.7,3.1,.103
150,Evan Fournier,SG,21,DEN,76,1503,10.3,.533,.501,.226,.436,2.4,12.1,7.3,11.6,1.1,0.3,14.3,19.7,101,111,0.6,0.8,1.4,.043
151,Randy Foye,SG,30,DEN,81,2485,13.3,.558,.521,.211,.569,1.6,8.5,5.0,17.7,1.3,1.2,13.2,18.8,110,111,3.3,1.3,4.6,.089
152,Jamaal Franklin,SG,22,MEM,21,161,4.7,.489,.474,.051,.282,2.9,14.0,8.5,5.4,1.3,1.0,21.6,14.6,85,106,-0.2,0.2,0.0,-0.002
153,Jimmer Fredette,SG,24,TOT,49,519,15.8,.578,.559,.093,.370,1.7,9.7,5.7,22.2,1.4,0.5,16.9,24.3,105,110,0.5,0.3,0.8,.078
153,Jimmer Fredette,SG,24,SAC,41,463,16.3,.584,.566,.096,.369,1.7,9.4,5.5,23.5,1.5,0.5,17.6,23.8,106,111,0.6,0.2,0.8,.082
153,Jimmer Fredette,SG,24,CHI,8,56,11.6,.535,.517,.069,.379,2.1,12.0,7.1,11.1,0.0,0.0,11.8,27.9,97,106,0.0,0.1,0.0,.043
154,Joel Freeland,C,26,POR,52,727,11.3,.498,.475,.179,.012,13.2,17.6,15.4,7.1,0.7,2.1,15.5,12.4,109,107,0.7,0.7,1.4,.093
155,Channing Frye,PF,30,PHO,82,2312,13.2,.555,.535,.122,.555,3.6,16.6,10.1,6.4,1.3,2.1,9.8,17.3,111,107,2.9,2.4,5.3,.109
156,Francisco Garcia,SF,32,HOU,55,1083,9.3,.521,.519,.065,.656,2.3,9.8,6.3,8.6,1.2,2.3,9.0,13.5,108,108,0.8,0.9,1.8,.078
157,Kevin Garnett,C,37,BRK,54,1109,13.3,.467,.441,.132,.008,6.5,32.1,19.3,12.4,2.0,3.0,15.5,18.9,93,101,-0.7,1.9,1.2,.054
158,Diante Garrett,PG,25,UTA,71,1048,7.1,.459,.449,.045,.362,1.2,9.8,5.3,17.6,2.1,0.4,21.7,15.1,87,113,-1.1,0.3,-0.8,-0.036
159,Marc Gasol,C,29,MEM,59,1970,18.2,.526,.474,.339,.015,5.0,20.5,12.7,17.7,1.6,3.2,12.0,21.7,108,102,2.6,3.1,5.6,.137
160,Pau Gasol,C,33,LAL,60,1884,19.3,.522,.482,.287,.016,7.0,25.9,16.4,18.7,0.7,3.5,12.4,26.4,102,108,1.3,1.7,3.0,.076
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
161,Rudy Gay,SF,27,TOT,73,2531,18.3,.540,.483,.328,.167,5.0,14.8,9.8,15.1,1.9,1.8,14.2,27.6,104,107,2.3,2.5,4.8,.091
161,Rudy Gay,SF,27,TOR,18,639,14.7,.468,.421,.263,.176,5.3,19.1,12.1,11.5,2.3,2.9,13.6,30.8,91,102,-0.8,1.1,0.3,.021
161,Rudy Gay,SF,27,SAC,55,1892,19.6,.567,.508,.354,.164,4.9,13.3,9.1,16.3,1.8,1.4,14.5,26.6,108,109,3.0,1.5,4.5,.114
162,Alonzo Gee,SF,26,CLE,65,1020,8.6,.491,.456,.258,.246,3.8,12.8,8.2,6.9,2.0,1.2,14.3,13.4,97,107,-0.1,1.0,0.9,.041
163,Paul George,SF,23,IND,80,2898,20.1,.555,.490,.341,.367,2.6,17.7,10.5,17.9,2.7,0.6,12.5,28.3,107,97,4.4,6.4,10.8,.178
164,Taj Gibson,PF,28,CHI,82,2351,16.0,.524,.479,.314,.008,9.8,17.1,13.5,7.3,0.9,3.7,12.8,23.0,102,100,1.4,4.4,5.7,.117
165,Manu Ginobili,SG,36,SAS,68,1550,20.0,.590,.541,.300,.411,2.3,12.0,7.3,29.0,2.3,0.8,16.4,24.7,112,103,3.3,2.4,5.7,.176
166,Rudy Gobert,C,21,UTA,45,434,12.9,.507,.486,.878,.000,13.1,28.5,20.6,2.4,1.0,7.4,23.8,14.2,94,104,-0.2,0.6,0.4,.045
167,Ryan Gomes,SF,31,OKC,5,34,0.2,.375,.375,.000,.250,0.0,12.7,6.6,4.1,0.0,0.0,11.1,11.7,75,110,-0.1,0.0,0.0,-0.039
168,Drew Gooden,C,32,WAS,22,395,18.4,.591,.556,.189,.119,10.7,23.0,16.7,6.3,1.3,1.5,9.9,19.7,117,104,0.9,0.6,1.4,.173
169,Archie Goodwin,SG,19,PHO,52,533,10.3,.507,.470,.329,.216,5.3,13.0,9.2,5.7,1.9,1.6,18.7,19.4,93,107,-0.3,0.5,0.2,.018
170,Ben Gordon,SG,30,CHA,19,279,6.4,.422,.380,.194,.269,1.2,9.8,5.5,12.2,1.9,0.6,15.2,22.9,80,105,-0.7,0.3,-0.3,-0.058
171,Eric Gordon,SG,25,NOP,64,2057,14.9,.540,.498,.273,.316,1.7,7.7,4.7,16.6,1.9,0.5,12.8,23.2,105,113,2.0,0.5,2.5,.058
172,Marcin Gortat,C,29,WAS,81,2655,17.6,.568,.542,.273,.001,8.7,25.1,16.7,8.4,0.8,3.8,11.8,18.2,112,103,4.1,4.0,8.1,.146
173,Danny Granger,SF,30,TOT,41,847,10.9,.502,.448,.218,.417,4.3,12.9,8.8,7.8,0.7,1.5,12.0,20.5,99,103,0.1,1.2,1.3,.073
173,Danny Granger,SF,30,IND,29,653,10.3,.491,.428,.238,.422,4.3,13.3,9.0,8.1,0.7,1.5,12.8,19.8,98,102,0.0,1.0,1.0,.075
173,Danny Granger,SF,30,LAC,12,194,12.6,.532,.500,.167,.405,4.2,11.6,8.0,6.6,0.8,1.6,10.0,22.8,103,108,0.1,0.2,0.3,.070
174,Aaron Gray,C,29,TOT,37,355,7.8,.466,.443,.328,.016,13.2,22.3,17.7,9.1,1.4,1.8,30.8,12.5,90,106,-0.3,0.4,0.1,.016
174,Aaron Gray,C,29,TOR,4,20,5.7,.644,.667,.667,.000,17.4,29.3,23.3,23.1,0.0,0.0,50.8,17.9,88,105,0.0,0.0,0.0,-0.007
174,Aaron Gray,C,29,SAC,33,335,7.9,.455,.431,.310,.017,13.0,21.8,17.4,8.2,1.5,1.9,29.1,12.2,90,106,-0.2,0.4,0.1,.018
175,Danny Green,SG,26,SAS,68,1651,13.9,.580,.562,.125,.630,1.8,13.4,7.8,8.9,2.0,2.7,12.5,16.7,107,101,1.4,2.8,4.2,.122
176,Draymond Green,SF,23,GSW,82,1797,12.7,.498,.467,.268,.359,5.3,19.3,12.4,11.9,2.8,3.0,15.1,14.8,102,98,0.7,3.8,4.5,.119
177,Gerald Green,SG,28,PHO,82,2330,16.5,.585,.547,.229,.507,2.3,10.9,6.6,8.6,1.5,1.4,11.6,23.6,112,108,4.2,1.9,6.1,.126
178,Jeff Green,SF,27,BOS,82,2805,13.1,.520,.469,.304,.338,2.1,13.6,7.7,8.4,1.0,1.3,11.1,23.6,102,109,1.3,2.0,3.3,.057
179,Willie Green,SG,32,LAC,55,869,7.1,.477,.452,.125,.446,1.6,8.2,5.0,8.3,1.3,1.0,10.6,16.3,96,108,-0.2,0.7,0.5,.028
180,Blake Griffin,PF,24,LAC,80,2863,23.9,.583,.533,.496,.032,7.7,21.2,14.7,19.2,1.6,1.4,11.9,29.0,114,103,8.1,4.1,12.2,.205
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
181,Jorge Gutierrez,PG,25,BRK,15,244,8.7,.523,.491,.222,.222,1.5,9.3,5.4,19.4,2.2,0.3,19.1,14.1,101,109,0.1,0.2,0.2,.048
182,Jordan Hamilton,SF,23,TOT,60,1019,12.7,.507,.484,.136,.527,3.5,17.1,10.4,7.9,2.1,1.5,10.4,18.7,102,106,0.4,1.1,1.6,.073
182,Jordan Hamilton,SF,23,DEN,39,670,13.2,.497,.478,.122,.508,3.7,17.8,10.7,7.8,2.3,1.4,9.2,18.7,101,106,0.2,0.7,1.0,.069
182,Jordan Hamilton,SF,23,HOU,21,349,11.7,.528,.496,.164,.566,3.0,15.7,9.7,8.0,1.9,1.5,12.7,18.8,103,106,0.2,0.4,0.6,.080
183,Justin Hamilton,C,23,TOT,8,72,11.9,.586,.525,.250,.450,7.2,5.0,6.1,0.0,3.6,0.0,15.3,17.4,105,106,0.1,0.1,0.1,.089
183,Justin Hamilton,C,23,CHA,1,4,0.0,,,,,0.0,0.0,0.0,0.0,13.0,0.0,100.0,11.5,0,84,0.0,0.0,0.0,-0.190
183,Justin Hamilton,C,23,MIA,7,68,12.6,.586,.525,.250,.450,7.7,5.3,6.5,0.0,3.1,0.0,11.9,17.7,110,107,0.1,0.1,0.1,.105
184,Tyler Hansbrough,PF,28,TOR,64,978,14.2,.562,.474,.944,.010,14.2,20.0,17.1,2.7,1.5,1.6,14.5,15.1,116,104,1.7,1.4,3.0,.149
185,Tim Hardaway,SG,21,NYK,81,1875,12.7,.554,.523,.186,.521,1.2,6.6,3.8,5.8,1.2,0.3,5.9,19.6,112,114,2.7,0.4,3.1,.080
186,James Harden,SG,24,HOU,73,2777,23.5,.618,.529,.552,.401,2.6,10.7,6.9,27.3,2.1,0.8,15.0,27.8,120,107,10.1,2.7,12.8,.221
187,Maurice Harkless,SF,20,ORL,80,1950,11.8,.542,.525,.296,.319,4.0,11.4,7.7,6.4,2.5,2.0,13.6,14.8,102,106,0.6,2.1,2.8,.068
188,Josh Harrellson,C,24,DET,32,317,13.4,.547,.537,.085,.378,9.8,16.7,13.1,6.9,1.0,3.8,10.5,12.8,117,109,0.5,0.2,0.7,.108
189,Al Harrington,PF,33,WAS,34,511,9.7,.506,.478,.169,.483,3.3,15.0,9.1,8.7,1.4,0.0,13.3,22.7,96,106,-0.2,0.5,0.4,.035
190,Devin Harris,PG,30,DAL,40,818,14.6,.517,.439,.453,.398,1.1,10.8,6.0,31.0,1.8,0.2,16.2,20.2,109,111,1.2,0.4,1.6,.094
191,Elias Harris,SF,24,LAL,2,11,7.6,.000,.000,.000,.000,9.7,0.0,4.9,11.4,4.4,0.0,0.0,4.0,92,110,0.0,0.0,0.0,.018
192,Manny Harris,SG,24,LAL,9,180,10.9,.485,.450,.171,.286,4.1,16.0,10.1,9.5,1.1,0.4,10.7,20.4,95,112,-0.1,0.1,0.0,.002
193,Mike Harris,PF,30,UTA,20,225,15.3,.576,.475,.443,.033,7.4,9.5,8.4,3.6,3.7,2.4,13.1,17.1,112,107,0.3,0.2,0.5,.116
194,Tobias Harris,PF,21,ORL,61,1850,16.5,.542,.486,.341,.176,5.4,20.6,13.0,7.7,1.1,1.0,8.7,22.2,108,107,2.4,1.7,4.1,.107
195,Udonis Haslem,PF,33,MIA,46,653,10.5,.523,.507,.301,.000,8.4,24.7,16.8,2.9,0.9,2.0,12.7,13.9,104,105,0.3,0.8,1.1,.083
196,Spencer Hawes,C,25,TOT,80,2470,15.7,.554,.529,.172,.349,5.6,24.2,14.6,15.8,0.9,3.1,15.4,19.6,105,107,2.2,2.3,4.5,.088
196,Spencer Hawes,C,25,PHI,53,1666,15.3,.546,.520,.172,.346,5.5,24.6,14.7,16.9,0.9,3.2,15.9,19.0,104,108,1.2,1.4,2.6,.075
196,Spencer Hawes,C,25,CLE,27,804,16.6,.571,.547,.172,.354,5.9,23.6,14.5,13.5,0.8,2.8,14.5,20.7,108,106,1.0,0.9,1.9,.114
197,Chuck Hayes,C,30,TOT,61,754,10.0,.468,.431,.192,.008,10.5,21.8,16.1,6.8,2.3,1.3,19.0,10.4,102,103,0.2,1.2,1.4,.086
197,Chuck Hayes,C,30,SAC,16,179,11.4,.470,.438,.219,.000,12.5,17.2,14.8,4.9,3.1,0.9,16.6,10.4,105,105,0.1,0.2,0.3,.081
197,Chuck Hayes,C,30,TOR,45,575,9.6,.467,.429,.184,.010,9.9,23.2,16.5,7.5,2.1,1.4,19.7,10.4,101,102,0.1,0.9,1.1,.088
198,Gordon Hayward,SF,23,UTA,77,2800,16.2,.520,.454,.369,.271,2.5,14.0,8.0,24.1,2.1,1.1,15.0,23.1,104,111,2.2,1.5,3.6,.062
199,Gerald Henderson,SG,26,CHA,77,2461,13.1,.507,.455,.332,.124,1.4,12.9,7.1,13.9,1.1,1.0,9.6,22.1,101,106,0.8,2.8,3.6,.071
200,Xavier Henry,SF,22,LAL,43,908,12.3,.511,.458,.513,.235,2.9,10.5,6.7,8.8,2.4,0.6,11.9,23.1,97,111,-0.1,0.5,0.3,.017
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
201,John Henson,PF,23,MIL,70,1856,17.9,.543,.538,.277,.002,10.2,20.8,15.3,10.9,1.2,5.1,13.7,20.3,106,108,1.7,1.5,3.3,.084
202,Roy Hibbert,C,27,IND,81,2409,13.5,.499,.440,.357,.007,9.9,15.0,12.5,6.2,0.6,5.7,14.5,19.4,100,98,0.5,5.0,5.4,.108
203,J.J. Hickson,PF,25,DEN,69,1859,16.2,.521,.508,.443,.012,11.9,24.8,18.3,8.4,1.2,2.0,14.1,20.8,103,106,1.3,2.1,3.3,.086
204,Nene Hilario,PF,31,WAS,53,1560,16.6,.530,.504,.448,.008,4.7,17.3,10.9,16.3,2.1,2.5,14.1,24.0,102,103,0.8,2.4,3.2,.098
205,George Hill,PG,27,IND,76,2434,13.4,.563,.519,.286,.422,2.6,10.1,6.5,17.2,1.6,0.7,11.7,14.8,115,102,3.8,4.0,7.8,.154
206,Jordan Hill,PF,26,LAL,72,1500,19.3,.579,.549,.347,.002,13.8,24.3,19.0,5.9,0.9,3.1,11.1,19.7,115,108,3.1,1.3,4.4,.141
207,Solomon Hill,SF,22,IND,28,226,7.6,.545,.513,.175,.575,4.7,15.2,10.2,7.9,1.1,0.7,23.2,11.3,97,101,0.0,0.4,0.4,.080
208,Kirk Hinrich,PG,33,CHI,73,2116,10.8,.494,.461,.202,.391,1.7,8.5,5.2,22.6,2.0,1.0,15.1,17.3,100,102,0.4,3.3,3.8,.085
209,Jrue Holiday,PG,23,NOP,34,1143,17.1,.505,.480,.139,.170,2.8,11.8,7.2,38.9,2.6,0.9,17.9,23.3,103,110,0.8,0.7,1.5,.064
210,Ryan Hollins,PF,29,LAC,61,482,11.9,.730,.736,.778,.000,7.4,13.1,10.4,2.4,0.9,4.9,23.1,11.5,117,105,0.7,0.6,1.3,.126
211,Scotty Hopson,SG,24,CLE,2,7,-6.5,.102,.000,.500,.500,0.0,0.0,0.0,18.8,7.4,0.0,0.0,31.1,37,100,-0.1,0.0,-0.1,-0.412
212,Al Horford,C,27,ATL,29,958,22.0,.588,.571,.202,.026,8.0,21.4,14.8,15.2,1.4,3.6,12.3,24.7,109,104,1.5,1.3,2.8,.141
213,Dwight Howard,C,28,HOU,71,2396,21.3,.600,.593,.798,.009,11.4,27.9,20.1,9.3,1.2,4.0,17.5,24.0,109,101,4.0,4.1,8.0,.161
214,Robbie Hummel,SF,24,MIN,53,655,9.6,.492,.469,.090,.503,5.7,16.6,11.0,5.0,1.2,0.2,5.2,12.6,110,108,0.6,0.6,1.1,.084
215,Kris Humphries,PF,28,BOS,69,1376,18.2,.552,.501,.312,.004,10.2,24.0,16.9,8.2,1.2,3.4,10.9,19.0,113,105,2.3,1.8,4.1,.143
216,Serge Ibaka,PF,24,OKC,81,2666,19.6,.576,.548,.203,.061,10.0,19.6,15.0,5.2,0.7,6.7,10.3,19.8,115,102,5.2,4.4,9.6,.173
217,Andre Iguodala,SF,30,GSW,63,2040,13.7,.570,.548,.288,.382,2.9,12.6,7.8,18.2,2.3,0.7,16.2,13.3,113,103,2.7,3.1,5.8,.135
218,Ersan Ilyasova,PF,26,MIL,55,1478,13.8,.486,.441,.225,.226,8.0,18.8,13.3,8.4,1.6,0.4,8.7,21.3,103,111,0.9,0.8,1.6,.053
